text,label
gerçekten siz hikayeler izleyerek mi yeni yıl gir,0
baklava sen zaten,0
dükel atatürk kar başlattık siyasi bağımsızlık ekonomik bağımsızlık mümkün olabilecek gerçek özelleştirme sekte uğradık görmek halka özelleştirilme ekonomik sorun üste gelebilecek düşün,0
konfederasyon aile sosyal politika bakanlık istişare aylık birlikte yaptık hazırlık çalışma sonuç eylül dil günü münasebetiyle türkiye dernek federasyon katılım gerçekleşen sempozyum resim,0
hakem tarih yaz kişi karşı ön olacak kaybettir,1
emeklilik yaşa takılan perişan çözüm biz destek veri,0
öğrenci siz gelir değil bayi al kadar vergi,0
sabırlı ol soruştur devam et hele itiraf lezzetli olacak,0
toprak üstün aziz et toprak altın zelil et,0
rüya mevzu olur ol asla sonuçlan reel kestirip at meydan okumak düş bil,0
yap söyle geç kalmışlık hissı,0
bacını sikem,1
bacını sikim,1
kimse tahammül evre yine allah gani gani sabır,0
liste hazırlayan kız sen şimdi ebeni sik gel bek amına koduğumun dal,1
ara öp sen sen,0
vekil yine unut engelli hizmetli zor siz bekli bizet yar edin,0
kendi süleymancı olarak atfeden fatiha bahane yanlış okuyan imam denetlen bunlar hangi dış güç yönet araştırıl,0
kampüs bayıl yaşlı var,1
hani türkiye müzik almak gelecek,0
gavur zulüm yap kınayan müslüman sen sessizlik yak zulüm ateşin kahrolsun demek dış yapabil kaç tane gavur mal ambargo uygula ev,1
bide suriyeli oç,1
arap özentilik bırak amk şeriatçı,1
yok yok olmaz böyle,0
ehlı sünnet olan kavga edip olmayan ittifak yap diyenler cevaben ehlı sünnet iç küçük ihtilaf büyüt fırka arası büyük ihtilaf küçülterek sade hakikat hizmet ettik gör,0
küçük yanan soba üstüne tükürüp buharlaşma izleyen sade ben değil dem,0
adam birbiri ye seneye i̇lyas salman kemal sunal ihale gir son teklif,0
kendi toparladık görmek gücü göstermek iyi hissettir iyi,0
kabristan oku allah affet gerçi pek fark yok,0
bende eğitimsiz topluluk gül hayat çelişki dolu ders ona göre yaşa vatan severlik ders vatan hain oy ver kısacası şey çelişki,1
sen böyle de tam inan şimdi erdoğan yol,0
aldık haram puan zehir ol layık bul satıl suriyeli sucuklu,1
ben üç gün çalış kalan dört günde uyku tut madrid şey bedel var kahret,0
adam uyduruk penaltı almak iste demek,0
kedi tarafından sevilerek uyan girdi,0
koca bina üst yıkan gülümser ön yüzler,0
sen öyle çağır ben böyle gel ben böyle çağır sen öyle gel,0
baş gel öyle böyle bir gel,0
hoca zor sorun fazla maaş mi al gavur değil acı biraz,1
avrupai bir arkadaş bir sevgili söyleyecek kadar,1
hayat daima tatlı tatlı prenses arkadaş,0
